loan_id,customer_id,loan_type_id,original_amount,current_balance,interest_rate,monthly_payment,late_payments,default_flag
L002279,C01508,4,33000,7300,6.5,350,0,False
L002280,C01509,3,2040000,1427900,2.85,8460,4,True
L002281,C01510,3,1634000,1307400,2.78,6740,1,False
L002282,C01510,2,46000,15900,15.44,2300,2,False
L002283,C01511,2,8000,2100,18.47,400,1,False
L002284,C01512,2,5000,3600,18.29,250,3,False
L002285,C01513,2,25000,15800,13.14,1250,0,False
L002286,C01514,2,19000,8800,21.46,950,0,False
L002287,C01515,3,1525000,1006300,2.98,5820,0,False
L002288,C01516,2,17000,9300,16.32,850,0,False
L002289,C01517,3,1868000,1363300,3.12,8560,0,False
L002290,C01518,3,1076000,541000,2.85,4030,0,False
L002291,C01519,3,1921000,1798500,3.3,9720,3,False
L002292,C01519,2,21000,17400,16.45,1050,0,False
L002293,C01520,1,50000,37200,6.95,2070,0,False
L002294,C01521,2,20000,1700,21.79,1000,0,False
L002295,C01522,3,2725000,1236500,3.57,9630,0,False
L002296,C01523,4,170000,111500,7.02,3630,0,False
L002297,C01524,1,50000,27000,6.81,1260,2,False
L002298,C01525,2,64000,37200,20.25,3200,1,False
L002299,C01526,3,2821000,1893900,2.53,11090,0,False
L002300,C01527,3,869000,587200,2.74,4110,0,False
L002301,C01527,2,24000,2900,17.09,1200,0,False
L002302,C01528,3,2846000,2487900,2.6,13570,0,False
L002303,C01529,2,15000,1800,17.51,750,0,False
L002304,C01529,4,192000,154100,9.65,2800,0,False
L002305,C01530,4,174000,92900,6.93,4160,0,False
L002306,C01530,3,2346000,1956200,2.45,10090,3,False
L002307,C01531,3,2462000,2228000,2.39,10040,0,False
L002308,C01531,1,459000,157800,6.93,8380,1,False
L002309,C01532,2,55000,29200,17.28,2750,0,False
L002310,C01532,3,1081000,803800,2.72,5420,0,False
L002311,C01533,3,926000,608700,2.68,3560,0,False
L002312,C01533,2,38000,11600,15.52,1900,2,False
L002313,C01534,2,52000,20700,15.09,2600,0,False
L002314,C01535,2,13000,10200,13.82,650,0,False
L002315,C01536,3,1638000,848900,2.57,7250,0,False
L002316,C01536,2,26000,16500,14.77,1300,3,False
L002317,C01537,3,1121000,785400,3.69,4590,1,False
L002318,C01537,2,31000,4100,18.9,1550,0,False
L002319,C01538,4,221000,132800,7.8,4740,2,False
L002320,C01539,4,220000,192800,8.61,2790,0,False
L002321,C01540,3,1969000,1333200,2.77,9270,0,False
L002322,C01541,3,1867000,1250100,2.89,7540,0,False
L002323,C01542,1,238000,200600,6.26,9680,0,False
L002324,C01543,3,1614000,1194100,3.44,6640,0,False
L002325,C01544,2,23000,15800,16.21,1150,0,False
L002326,C01544,1,176000,108300,5.66,6290,2,False
L002327,C01544,3,1715000,1020800,2.47,7780,1,False
L002328,C01545,3,844000,780400,2.32,3260,0,False
L002329,C01546,2,6000,3200,23.99,300,0,False
L002330,C01546,1,86000,70100,9.54,1790,0,False
L002331,C01547,3,641000,554800,3.68,3450,0,False
L002332,C01547,2,20000,15700,15.42,1000,0,False
L002333,C01548,1,242000,135700,7.99,3880,0,False
L002334,C01549,2,9000,3000,17.52,450,1,False
L002335,C01550,2,17000,11800,22.34,850,0,False
L002336,C01550,1,66000,49900,5.77,1130,0,False
L002337,C01551,2,20000,8000,17.68,1000,1,False
L002338,C01552,3,1713000,1532300,2.9,8270,0,False
L002339,C01553,2,10000,4800,11.79,500,0,False
L002340,C01553,3,1334000,629200,2.64,4670,0,False
L002341,C01553,4,195000,139800,7.92,2830,0,False
L002342,C01554,2,5000,4000,19.98,250,0,False
L002343,C01555,3,1791000,1215600,2.2,7150,0,False
L002344,C01556,4,185000,154200,7.44,3320,0,False
L002345,C01556,3,1524000,1102100,3.18,6620,0,False
L002346,C01557,3,2387000,1452700,2.66,11030,0,False
L002347,C01558,2,42000,33200,17.74,2100,1,False
L002348,C01559,3,1260000,901000,3.58,6010,0,False
L002349,C01559,1,262000,223200,6.83,4740,1,False
L002350,C01560,4,186000,105200,6.56,2410,0,False
L002351,C01561,1,113000,56100,6.6,3910,1,False
L002352,C01562,3,2058000,1915600,2.37,8390,0,False
L002353,C01562,4,135000,35300,7.91,1980,0,False
L002354,C01563,4,270000,83000,8.79,5210,0,False
L002355,C01564,3,1294000,809300,3.45,5090,0,False
L002356,C01565,4,70000,62400,5.16,1180,0,False
L002357,C01566,3,1640000,951000,2.77,7010,3,False
L002358,C01566,1,310000,90600,5.8,10310,1,False
L002359,C01566,4,167000,52400,9.14,6050,1,False
L002360,C01567,2,30000,14500,17.8,1500,0,False
L002361,C01568,2,41000,8900,16.79,2050,0,False
L002362,C01568,4,330000,184900,7.76,4010,0,False
L002363,C01569,3,1242000,862900,2.68,5510,0,False
L002364,C01570,3,1926000,1158200,3.39,7370,0,False
L002365,C01571,2,71000,17700,15.54,3550,0,False
L002366,C01572,1,288000,150900,4.41,5320,0,False
L002367,C01573,2,10000,7500,15.73,500,1,False
L002368,C01573,4,34000,22400,8.52,370,0,True
L002369,C01574,4,146000,62500,5.92,2180,0,False
L002370,C01575,3,2082000,1339100,2.84,7710,0,False
L002371,C01576,4,277000,159200,7.78,4630,1,False
L002372,C01577,2,5000,4200,17.56,250,0,True
L002373,C01577,4,48000,35300,14.82,1650,0,False
L002374,C01578,3,2163000,1026600,2.63,7740,2,False
L002375,C01578,1,248000,144600,6.29,4920,0,False
L002376,C01579,4,78000,55500,9.83,990,0,False
L002377,C01580,2,56000,5500,16.53,2800,0,False
L002378,C01580,3,1233000,1098900,3.02,5700,0,False
L002379,C01580,1,439000,169000,3.95,5930,0,False
L002380,C01581,2,8000,5100,18.29,400,1,True
L002381,C01582,3,1896000,1389600,3.26,8600,0,False
L002382,C01583,1,475000,352900,5.68,10170,2,False
L002383,C01583,3,2624000,2452800,2.79,11440,1,False
L002384,C01583,4,286000,60600,9.28,3280,0,False
L002385,C01584,2,6000,3900,18.58,300,0,False
L002386,C01584,4,114000,86900,12.94,1910,1,False
L002387,C01585,3,1552000,816400,2.92,5710,0,False
L002388,C01586,3,1776000,1628100,3.13,8850,0,False
L002389,C01586,1,74000,27900,8.68,1660,0,False
L002390,C01587,4,91000,31300,10.97,1520,0,False
L002391,C01588,4,331000,252200,11.3,5210,0,False
L002392,C01588,2,52000,9700,20.24,2600,1,False
L002393,C01589,3,1544000,912200,3.39,7720,1,False
L002394,C01589,2,44000,21100,17.15,2200,1,False
L002395,C01589,4,298000,218600,8.2,4850,0,False
L002396,C01589,1,220000,129000,6.04,3420,0,True
L002397,C01590,1,50000,44000,9.33,860,1,False
L002398,C01591,4,237000,107600,8.41,8690,0,False
L002399,C01591,1,199000,123900,6.12,2720,0,False
L002400,C01592,4,162000,66800,10.34,5880,0,False
L002401,C01593,3,1141000,810000,3.54,5160,0,False
L002402,C01594,2,34000,2100,16.16,1700,0,False
L002403,C01595,3,1246000,902900,3.51,6350,0,False
L002404,C01595,1,202000,67400,4.66,3510,0,False
L002405,C01595,2,22000,7100,14.88,1100,0,False
L002406,C01596,2,20000,14800,20.11,1000,0,False
L002407,C01596,4,54000,23500,9.79,1010,0,True
L002408,C01597,3,976000,524700,2.82,4510,0,False
L002409,C01597,1,350000,99500,5.66,4990,0,False
L002410,C01598,2,14000,1500,18.29,700,0,False
L002411,C01599,1,369000,129000,5.98,8410,0,False
L002412,C01599,4,240000,52700,7.61,3110,1,False
L002413,C01600,3,644000,489700,3.37,2570,0,False
L002414,C01600,2,19000,14300,17.78,950,0,False
L002415,C01601,3,1215000,928300,2.36,5660,0,False
L002416,C01602,2,22000,3300,15.19,1100,0,False
L002417,C01603,4,26000,7100,12.36,290,0,False
L002418,C01604,1,236000,132600,3.5,3360,0,False
L002419,C01605,2,12000,800,19.66,600,0,False
L002420,C01606,3,2052000,1377700,2.42,9440,0,False
L002421,C01606,2,52000,37800,16.35,2600,0,False
L002422,C01607,3,692000,354900,3.25,2630,0,False
L002423,C01608,4,158000,137300,9.07,3020,0,False
L002424,C01609,4,270000,231200,9.78,4090,0,False
L002425,C01610,4,271000,133200,7.07,2840,0,False
L002426,C01611,2,21000,14600,17.93,1050,0,False
L002427,C01611,3,552000,373300,3.32,2670,0,False
L002428,C01611,1,116000,35700,6.96,5220,0,False
L002429,C01612,2,16000,900,13.67,800,0,False
L002430,C01613,2,37000,25700,18.57,1850,0,False
L002431,C01614,2,29000,15700,19.17,1450,0,False
L002432,C01615,4,73000,40200,10.77,830,0,False
L002433,C01615,3,1807000,1162200,3.09,6830,0,False
L002434,C01616,2,64000,38900,16.98,3200,0,False
L002435,C01616,4,257000,210400,8.48,4100,0,False
L002436,C01617,3,797000,651800,3.17,3560,0,False
L002437,C01618,2,14000,6600,21.53,700,1,True
L002438,C01619,2,52000,41800,21.61,2600,0,False
L002439,C01619,4,138000,97200,6.16,1620,0,False
L002440,C01619,3,1710000,1409900,2.77,7020,0,False
L002441,C01620,1,172000,54900,7.9,4120,1,False
L002442,C01620,3,2107000,1859300,3.13,9580,0,False
L002443,C01621,2,12000,1400,20.86,600,0,False
L002444,C01621,1,101000,48400,9.23,3430,1,False
L002445,C01622,4,170000,45000,8.77,1730,0,False
L002446,C01623,3,1517000,1256000,2.38,7180,0,False
L002447,C01624,4,92000,54500,6.16,1800,0,False
L002448,C01625,2,9000,6500,17.65,450,3,False
L002449,C01625,3,806000,708500,2.87,3300,0,False
L002450,C01626,3,1467000,1188500,2.89,6410,0,False
L002451,C01627,3,2241000,2089500,2.96,9960,0,False
L002452,C01628,2,28000,13100,20.49,1400,0,False
L002453,C01628,3,744000,588100,3.67,3400,2,False
L002454,C01629,4,112000,46600,9.82,1660,0,False
L002455,C01630,2,20000,2800,16.57,1000,0,False
L002456,C01631,3,1488000,1096800,3.12,5970,0,False
L002457,C01631,1,103000,72800,8.29,3910,0,False
L002458,C01632,3,826000,539900,3.04,3190,0,False
L002459,C01633,1,140000,118400,6.49,4040,1,True
L002460,C01633,3,1594000,803300,3.34,7020,0,False
L002461,C01633,4,272000,143700,7.02,8430,0,False
L002462,C01634,3,1180000,590800,3.21,4450,0,False
L002463,C01635,3,924000,635900,2.2,3770,0,False
L002464,C01635,4,100000,74500,7.64,1590,1,False
L002465,C01636,3,1750000,1198300,2.9,7500,0,False
L002466,C01637,3,1115000,594400,2.92,4140,0,False
L002467,C01638,4,134000,89900,6.5,2210,0,False
L002468,C01639,3,919000,776700,3.05,4880,0,False
L002469,C01639,2,30000,3100,19.99,1500,0,False
L002470,C01640,4,86000,71900,9.45,1470,0,False
L002471,C01641,1,310000,206000,3.65,8250,3,False
L002472,C01642,1,274000,169900,5.72,3830,0,False
L002473,C01642,3,1490000,702500,3.06,6570,0,False
L002474,C01643,1,268000,228100,4.77,8340,0,False
L002475,C01644,3,1410000,1138000,2.57,5440,0,False
L002476,C01644,4,183000,90700,12.27,2160,0,False
L002477,C01644,2,52000,17500,19.31,2600,0,False
L002478,C01645,3,1218000,764900,2.72,4330,0,False
L002479,C01645,4,97000,68900,10.56,3610,0,False
L002480,C01646,3,1706000,1051200,3.01,8070,0,False
L002481,C01646,2,18000,12400,16.51,900,1,True
L002482,C01646,1,360000,131900,5.55,4870,1,False
L002483,C01647,3,1560000,1343700,3.38,8180,0,False
L002484,C01647,1,193000,93500,6.31,2790,1,False
L002485,C01648,2,15000,10600,22.0,750,0,False
L002486,C01648,3,1045000,477800,2.87,4460,0,False
L002487,C01649,2,29000,11900,15.82,1450,0,False
L002488,C01650,3,1796000,1352900,3.58,8420,0,False
L002489,C01651,2,28000,7000,19.99,1400,0,False
L002490,C01652,2,60000,12100,21.61,3000,0,False
L002491,C01652,3,2765000,1554300,2.98,11330,0,False
L002492,C01652,4,135000,90300,8.21,1530,0,False
L002493,C01653,2,15000,10500,16.02,750,0,False
L002494,C01653,4,222000,187000,10.38,8350,0,False
L002495,C01654,3,1265000,1115300,2.66,5000,0,False
L002496,C01655,2,40000,33500,16.48,2000,2,False
L002497,C01655,3,2077000,1961600,3.26,11070,0,False
L002498,C01656,2,6000,4600,16.71,300,0,False
L002499,C01656,3,577000,438500,3.13,2340,0,False
L002500,C01657,1,189000,88100,5.02,4390,0,False
L002501,C01658,1,355000,105700,7.76,6590,0,False
L002502,C01659,2,37000,29100,18.28,1850,2,False
L002503,C01660,3,1758000,1205700,2.62,6630,0,False
L002504,C01661,2,46000,38700,17.73,2300,0,False
L002505,C01661,4,200000,133100,11.29,2630,0,False
L002506,C01662,1,330000,260000,5.78,4610,0,False
L002507,C01663,4,323000,73500,9.45,3990,0,False
L002508,C01663,2,62000,41100,17.99,3100,3,False
L002509,C01664,2,25000,18800,16.74,1250,0,False
L002510,C01664,4,46000,27200,6.38,590,0,False
L002511,C01664,3,852000,547100,2.87,3940,1,False
L002512,C01664,1,90000,39100,6.76,1200,1,False
L002513,C01665,3,741000,361500,2.61,2650,0,False
L002514,C01665,1,279000,205300,6.93,6030,1,False
L002515,C01666,4,251000,149600,9.65,3330,0,False
L002516,C01666,3,2218000,1339100,2.45,7820,0,False
L002517,C01667,4,69000,49500,7.73,930,0,False
L002518,C01667,2,36000,7300,15.8,1800,0,False
L002519,C01668,1,83000,30600,5.74,1780,0,False
L002520,C01669,2,12000,5800,17.61,600,0,False
L002521,C01669,3,1699000,895700,2.84,6230,0,False
L002522,C01670,3,1188000,847100,3.34,5550,0,False
L002523,C01670,2,31000,17500,17.62,1550,0,False
L002524,C01671,1,383000,264700,5.19,6240,0,False
L002525,C01671,3,1421000,1106300,3.2,7370,0,False
L002526,C01672,4,200000,64300,8.29,2620,0,False
L002527,C01673,1,71000,63900,7.33,1090,0,False
L002528,C01673,2,19000,10100,16.25,950,0,False
L002529,C01674,2,12000,3500,17.59,600,0,False
L002530,C01675,2,15000,6900,23.49,750,0,False
L002531,C01675,1,84000,24300,7.89,1240,0,False
L002532,C01675,4,28000,15300,7.87,720,0,False
L002533,C01676,3,2766000,2409200,3.44,14500,0,False
L002534,C01677,3,874000,493300,2.6,4060,0,False
L002535,C01677,2,43000,23400,17.68,2150,0,False
L002536,C01678,3,2113000,1008100,2.49,7570,0,False
L002537,C01678,4,353000,251600,7.97,4900,0,False
L002538,C01679,1,133000,65200,4.23,2960,0,False
L002539,C01679,2,51000,12800,16.47,2550,0,False
L002540,C01680,2,7000,800,21.25,350,0,False
L002541,C01681,3,2233000,1964600,4.0,11720,2,False
L002542,C01681,1,353000,222700,7.56,15610,3,True
L002543,C01682,3,703000,470600,2.54,2560,0,False
L002544,C01683,3,1120000,679900,3.43,4660,0,False
L002545,C01684,2,18000,5100,18.66,900,0,False
L002546,C01685,2,32000,6400,16.57,1600,0,False
L002547,C01685,3,1138000,579400,3.13,4260,0,False
L002548,C01686,2,8000,2200,16.09,400,0,False
L002549,C01687,3,737000,529800,2.91,3110,0,False
L002550,C01688,4,288000,136800,6.6,3030,0,False
L002551,C01689,3,2283000,1066500,2.48,8230,0,False
L002552,C01690,4,152000,63400,11.19,4280,1,False
L002553,C01690,3,2326000,1168000,3.1,10450,0,False
L002554,C01691,3,1551000,1424800,2.2,6980,0,False
L002555,C01692,4,283000,167500,4.5,7030,0,False
L002556,C01693,3,2117000,997100,2.86,8090,2,False
L002557,C01694,3,1267000,1163200,2.79,6180,0,False
L002558,C01695,1,304000,127100,6.51,5250,0,False
L002559,C01695,3,1239000,1173000,2.86,5280,1,False
L002560,C01696,2,28000,19100,15.24,1400,0,False
L002561,C01697,1,401000,290400,8.01,5890,1,False
L002562,C01698,2,25000,3200,13.79,1250,0,False
L002563,C01699,2,6000,2100,15.98,300,0,False
L002564,C01699,4,52000,46500,8.11,700,0,False
L002565,C01700,3,3137000,2690300,3.35,15770,0,False
L002566,C01701,3,689000,574900,2.99,3020,0,False
L002567,C01702,3,1474000,748100,2.89,5470,1,False
L002568,C01702,2,11000,800,20.71,550,0,False
L002569,C01702,1,281000,184200,4.64,7460,0,False
L002570,C01703,4,311000,153100,10.45,4970,0,False
L002571,C01703,3,1605000,1456700,3.23,8220,0,False
L002572,C01704,1,212000,74800,7.43,7740,0,False
L002573,C01705,4,191000,63800,11.3,2600,0,False
L002574,C01706,3,1806000,1545000,2.46,8550,0,False
L002575,C01706,2,60000,10800,17.87,3000,0,False
L002576,C01707,1,57000,47300,9.59,1480,0,False
L002577,C01707,2,12000,1500,21.24,600,0,False
L002578,C01708,2,35000,5200,17.33,1750,0,False
L002579,C01708,3,1567000,888600,2.8,6020,0,False
L002580,C01709,3,2848000,2383500,3.22,12710,2,False
L002581,C01709,2,43000,12500,16.41,2150,0,False
L002582,C01709,1,487000,265700,5.97,7880,1,False
L002583,C01710,3,1168000,628700,3.51,5030,0,False
L002584,C01711,3,1199000,633400,3.56,5670,1,False
L002585,C01712,2,5000,3300,17.96,250,0,False
L002586,C01713,1,343000,120800,7.32,5880,0,False
L002587,C01714,1,87000,52500,6.49,3430,0,False
L002588,C01714,4,85000,64200,4.51,1390,0,False
L002589,C01714,2,27000,8400,16.37,1350,1,False
L002590,C01715,2,5000,1300,19.95,250,0,False
L002591,C01715,4,57000,20400,8.24,600,0,False
L002592,C01716,2,20000,15800,18.24,1000,0,False
L002593,C01716,3,797000,458400,3.69,3080,0,False
L002594,C01717,2,44000,21400,12.29,2200,0,False
L002595,C01718,2,32000,20600,19.52,1600,0,False
L002596,C01719,2,18000,13700,18.37,900,0,False
L002597,C01719,3,538000,250500,2.7,2330,0,False
L002598,C01720,1,110000,70900,6.19,2920,0,False
L002599,C01721,3,959000,848600,4.01,4360,0,False
L002600,C01721,4,280000,237900,8.39,5070,1,False
L002601,C01722,3,2900000,2456800,3.53,12950,2,False
L002602,C01723,2,11000,1400,16.99,550,0,False
L002603,C01723,1,83000,51100,9.66,3060,1,False
L002604,C01723,4,32000,13700,9.02,400,0,False
L002605,C01724,2,26000,7900,19.93,1300,0,False
L002606,C01725,3,1183000,663000,3.48,4750,0,False
L002607,C01725,4,124000,85200,9.22,2720,0,False
L002608,C01725,2,36000,14100,19.12,1800,0,False
L002609,C01726,2,21000,14800,18.5,1050,0,False
L002610,C01727,3,2187000,1435200,2.78,8480,0,False
L002611,C01728,4,155000,103600,8.44,2800,0,False
L002612,C01728,3,525000,352100,3.02,1950,0,False
L002613,C01729,3,656000,614600,3.07,3410,0,False
L002614,C01729,2,16000,8700,15.09,800,0,False
L002615,C01729,1,117000,63100,6.38,2350,0,False
L002616,C01730,3,963000,795700,2.77,4880,0,False
L002617,C01730,2,55000,20100,19.19,2750,0,False
L002618,C01731,3,1869000,847600,2.92,7610,0,False
L002619,C01732,2,57000,19100,13.89,2850,0,False
L002620,C01732,3,2165000,1194900,3.16,8030,0,False
L002621,C01733,2,34000,19400,17.97,1700,0,False
L002622,C01734,3,2619000,1575200,2.67,11590,0,False
L002623,C01735,3,1478000,1190800,2.88,7590,0,False
L002624,C01735,2,16000,10000,13.73,800,0,False
L002625,C01736,2,13000,7000,16.71,650,0,False
L002626,C01737,3,1871000,1001100,3.07,7830,1,False
L002627,C01738,3,1239000,1074600,2.92,5450,0,False
L002628,C01739,4,171000,77900,9.48,2690,0,False
L002629,C01739,1,253000,69900,4.45,3820,1,False
L002630,C01740,1,76000,24300,5.41,2270,0,False
L002631,C01741,3,2261000,1426700,2.65,8080,0,False
L002632,C01742,3,1585000,936900,2.82,6420,0,False
L002633,C01742,2,61000,28700,16.61,3050,0,False
L002634,C01742,1,236000,172500,7.91,7790,0,False
L002635,C01743,4,271000,83500,7.21,4060,0,False
L002636,C01743,3,1207000,795800,3.87,6010,0,False
L002637,C01744,3,1464000,1033900,3.08,5740,0,False
L002638,C01745,2,15000,11800,15.83,750,0,False
L002639,C01746,2,22000,16000,20.68,1100,0,False
L002640,C01747,2,10000,2100,17.2,500,1,False
L002641,C01748,3,2034000,1368000,3.49,8290,0,False
L002642,C01749,3,1887000,1086100,2.72,7980,0,False
L002643,C01750,3,1231000,969300,2.79,5060,0,False
L002644,C01751,2,69000,33900,15.96,3450,0,False
L002645,C01751,1,145000,89600,5.47,3800,0,False
L002646,C01752,4,85000,19800,10.38,1510,0,False
L002647,C01752,1,95000,26400,8.1,1750,0,False
L002648,C01753,2,6000,4100,14.25,300,0,False
L002649,C01754,3,1884000,1196100,2.89,8020,0,False
L002650,C01755,4,105000,55100,6.49,1690,4,True
L002651,C01756,2,31000,7100,14.95,1550,0,False
L002652,C01757,3,1048000,793000,2.54,4130,0,False
L002653,C01757,1,99000,84700,7.05,1780,1,False
L002654,C01758,3,631000,554400,3.53,3140,0,False
L002655,C01759,3,2179000,1838100,3.09,9050,0,False
L002656,C01760,3,1815000,1451400,2.82,6940,0,False
L002657,C01760,1,180000,85600,6.44,2690,0,False
L002658,C01761,3,2196000,1362700,3.09,9040,2,False
L002659,C01762,4,135000,60300,13.39,1960,0,False
L002660,C01763,3,2180000,1944800,3.27,11390,0,False
L002661,C01763,2,35000,5800,12.56,1750,1,False
L002662,C01764,3,1791000,1350300,3.29,8240,0,False
L002663,C01765,2,16000,9500,16.36,800,0,False
L002664,C01766,4,107000,63100,11.99,1850,0,False
L002665,C01766,2,11000,4400,16.61,550,0,False
L002666,C01767,3,1338000,955800,3.35,5300,0,False
L002667,C01768,3,1021000,926000,3.22,4420,3,False
L002668,C01768,1,97000,36600,8.29,2290,0,False
L002669,C01769,4,182000,79100,4.5,1680,4,True
L002670,C01769,3,2438000,2177200,3.04,13190,1,False
L002671,C01769,1,322000,91000,5.74,4020,4,True
L002672,C01770,1,164000,50700,5.6,7380,0,False
L002673,C01770,4,182000,103300,7.28,2320,1,False
L002674,C01771,3,1465000,982200,3.33,5780,0,False
L002675,C01771,1,375000,102400,8.5,15050,1,False
L002676,C01772,2,39000,2200,15.65,1950,1,False
L002677,C01772,3,1386000,1120400,2.6,6090,0,False
L002678,C01773,2,24000,6800,15.98,1200,1,False
L002679,C01773,4,99000,83400,6.19,1690,0,False
L002680,C01773,1,167000,125500,10.36,4510,1,False
L002681,C01774,1,82000,56000,7.0,1370,0,False
L002682,C01775,4,119000,75900,13.59,1970,0,False
L002683,C01776,2,55000,43600,15.36,2750,0,False
L002684,C01777,3,1306000,1070400,2.9,5290,0,False
L002685,C01778,1,98000,65600,6.59,2070,0,False
L002686,C01779,3,1318000,1053100,2.2,4920,0,False
L002687,C01780,2,25000,20500,16.07,1250,0,False
L002688,C01781,2,8000,5300,22.23,400,0,False
L002689,C01782,2,17000,13500,20.99,850,0,False
L002690,C01783,4,198000,55500,9.02,3150,2,False
L002691,C01784,4,10000,4200,7.86,110,1,False
L002692,C01784,2,6000,3700,20.7,300,0,False
L002693,C01785,3,2071000,1830500,3.03,9480,0,False
L002694,C01786,3,1169000,665300,2.2,4430,0,False
L002695,C01786,4,90000,70100,8.6,1140,1,False
L002696,C01787,1,329000,214200,5.71,7930,0,False
L002697,C01788,3,1011000,544900,3.3,4020,0,False
L002698,C01789,2,30000,21600,12.88,1500,0,False
L002699,C01790,3,2237000,1881800,2.97,8910,0,False
L002700,C01791,4,97000,75600,9.14,2830,0,False
L002701,C01792,1,107000,31200,8.86,1860,0,False
L002702,C01793,3,2469000,1803300,3.08,11450,0,False
L002703,C01794,4,209000,106300,11.21,4790,0,False
L002704,C01794,3,1319000,848500,2.31,5200,2,False
L002705,C01794,1,360000,236200,7.37,6270,0,False
L002706,C01795,2,15000,2500,15.02,750,0,False
L002707,C01796,4,99000,20600,9.14,1170,0,False
L002708,C01796,2,23000,14100,15.97,1150,0,False
L002709,C01797,3,1406000,943000,3.02,5610,0,False
L002710,C01798,4,38000,32300,6.43,760,0,False
L002711,C01799,3,1057000,759200,3.81,4880,4,True
L002712,C01799,1,288000,213700,6.47,7980,1,False
L002713,C01800,4,31000,10400,8.02,1080,0,False
L002714,C01801,3,626000,522500,2.9,3100,0,False
L002715,C01801,2,12000,6600,16.85,600,0,False
L002716,C01802,3,1231000,934800,3.02,4850,0,False
L002717,C01803,3,1765000,1582800,2.2,6710,4,False
L002718,C01803,1,489000,316100,4.95,10560,0,False
L002719,C01804,2,12000,7700,22.5,600,0,False
L002720,C01805,3,1166000,544700,3.17,4100,0,False
L002721,C01806,2,26000,8100,18.54,1300,0,False
L002722,C01807,3,1441000,1169600,3.62,6510,1,False
L002723,C01807,4,79000,20700,9.33,1810,3,False
L002724,C01808,1,273000,231000,8.07,5370,1,False
L002725,C01809,3,2072000,1119000,2.77,8790,0,False
L002726,C01810,3,1365000,1006700,2.9,6810,0,False
L002727,C01810,4,121000,101400,10.69,1560,0,False
L002728,C01811,3,1875000,1586500,2.94,9500,1,False
L002729,C01811,2,34000,28300,17.2,1700,3,False
L002730,C01811,4,258000,57200,9.33,3420,0,False
L002731,C01812,1,136000,41300,6.88,2880,0,False
L002732,C01812,2,34000,8200,20.04,1700,0,False
L002733,C01813,4,284000,98500,8.19,3540,2,False
L002734,C01813,3,2515000,1722400,2.59,9950,2,False
L002735,C01814,4,25000,22300,11.63,450,0,False
L002736,C01815,2,7000,3300,22.59,350,0,False
L002737,C01815,4,102000,64100,9.1,1750,0,False
L002738,C01816,2,16000,3400,16.35,800,1,False
L002739,C01817,4,160000,91100,10.96,3300,0,False
L002740,C01817,3,2193000,1619500,3.08,9160,0,False
L002741,C01818,1,445000,222600,4.27,10540,0,False
L002742,C01819,3,1168000,880500,2.63,5280,0,False
L002743,C01820,2,27000,9300,22.0,1350,0,False
L002744,C01821,4,40000,25800,8.22,660,3,False
L002745,C01821,1,51000,42900,8.29,1180,0,False
L002746,C01821,2,24000,2400,17.29,1200,1,False
L002747,C01822,3,1665000,1393700,2.9,7090,0,False
L002748,C01822,1,357000,118600,7.57,5790,0,False
L002749,C01822,2,20000,10900,17.88,1000,1,False
L002750,C01823,1,314000,252800,4.08,13760,2,True
L002751,C01823,3,1806000,1632900,2.5,7400,0,False
L002752,C01824,4,102000,77200,10.48,1510,0,False
L002753,C01824,2,22000,4100,20.19,1100,0,False
L002754,C01825,4,174000,76300,7.19,1770,0,False
L002755,C01825,1,146000,75900,7.93,3720,0,False
L002756,C01826,4,346000,245200,12.26,4740,0,False
L002757,C01827,4,158000,74800,10.74,2700,0,False
L002758,C01828,2,25000,1300,17.2,1250,0,False
L002759,C01828,4,150000,118800,8.26,4530,0,False
L002760,C01829,2,7000,3500,15.68,350,0,False
L002761,C01830,4,183000,66100,8.02,2180,0,False
L002762,C01830,3,1349000,952500,3.37,5590,0,False
L002763,C01831,3,1317000,917800,2.87,5210,0,False
L002764,C01832,2,11000,1400,21.41,550,0,False
L002765,C01833,3,1159000,545700,3.09,5450,0,False
L002766,C01834,4,387000,206700,11.34,6800,1,False
L002767,C01834,3,1806000,850200,2.9,6690,0,False
L002768,C01835,2,44000,25100,16.28,2200,0,False
L002769,C01836,3,804000,744400,3.31,3750,0,False
L002770,C01836,2,16000,8200,16.49,800,0,False
L002771,C01836,1,179000,115200,8.11,2770,2,False
L002772,C01837,3,2958000,1766900,3.09,13090,0,False
L002773,C01838,1,88000,44400,9.69,3370,0,False
L002774,C01839,2,39000,13000,18.51,1950,0,False
L002775,C01840,3,1617000,1076400,2.79,7860,0,False
L002776,C01841,3,2136000,1980700,3.08,10560,0,False
L002777,C01842,2,74000,35000,19.21,3700,0,False
L002778,C01843,4,38000,21600,15.43,650,0,False
L002779,C01844,1,50000,39900,8.6,2150,1,False
L002780,C01845,3,907000,733500,2.38,4290,0,False
L002781,C01846,1,94000,54500,4.51,1580,0,False
L002782,C01847,2,9000,2400,20.87,450,0,False
L002783,C01847,3,802000,692800,4.11,4630,0,False
L002784,C01848,4,195000,111300,5.52,3120,1,False
L002785,C01848,1,351000,271100,6.74,9020,0,False
L002786,C01849,2,42000,5100,15.46,2100,0,False
L002787,C01850,3,1391000,917400,2.97,5800,0,False
L002788,C01850,2,54000,43900,11.8,2700,0,False
