loan_id,customer_id,loan_type,original_amount,current_balance,interest_rate,monthly_payment,late_payments,default_flag
L004685,C03096,Car Loan,504000,126800,3.8,8140,0,0
L004686,C03097,Mortgage,1125000,694300,2.66,4430,0,0
L004687,C03098,Mortgage,2019000,1093500,2.99,7480,0,0
L004688,C03099,Credit Card,50000,6800,16.39,2500,0,0
L004689,C03099,Personal Loan,115000,75700,10.19,1660,0,0
L004690,C03100,Mortgage,1910000,1772200,3.26,10540,0,0
L004691,C03100,Personal Loan,209000,123300,6.95,2280,0,0
L004692,C03100,Credit Card,54000,41000,19.91,2700,0,0
L004693,C03100,Car Loan,124000,85400,6.03,3940,2,0
L004694,C03101,Mortgage,1462000,1173800,2.34,5500,0,0
L004695,C03102,Mortgage,1538000,1357700,3.11,8050,0,0
L004696,C03102,Personal Loan,296000,135500,7.65,6620,1,0
L004697,C03103,Mortgage,1086000,722600,3.0,5380,0,0
L004698,C03104,Mortgage,2134000,1551500,2.47,7970,0,0
L004699,C03105,Mortgage,1351000,1238400,4.07,7180,0,0
L004700,C03105,Car Loan,61000,46600,6.03,1060,3,0
L004701,C03106,Credit Card,59000,13300,16.1,2950,0,0
L004702,C03107,Mortgage,2381000,1186900,2.58,9110,0,0
L004703,C03108,Credit Card,39000,26900,16.43,1950,0,0
L004704,C03108,Car Loan,107000,54300,5.2,1390,1,0
L004705,C03109,Personal Loan,208000,138800,8.27,2660,2,0
L004706,C03109,Mortgage,1731000,1214700,3.2,7870,1,0
L004707,C03110,Credit Card,66000,8200,19.12,3300,0,0
L004708,C03110,Car Loan,226000,98700,7.2,3600,0,0
L004709,C03111,Personal Loan,344000,298800,7.74,4940,0,0
L004710,C03111,Mortgage,1170000,915400,3.09,6020,0,0
L004711,C03112,Credit Card,6000,3200,17.5,300,0,0
L004712,C03113,Mortgage,2053000,934100,2.51,7430,0,0
L004713,C03113,Credit Card,46000,29700,21.07,2300,0,0
L004714,C03114,Mortgage,1371000,637800,2.28,6280,0,0
L004715,C03115,Mortgage,2644000,1927300,3.06,11660,0,0
L004716,C03116,Credit Card,26000,21000,16.43,1300,1,0
L004717,C03117,Personal Loan,76000,29700,10.5,1630,0,0
L004718,C03118,Credit Card,27000,14300,20.2,1350,0,0
L004719,C03119,Credit Card,11000,8800,21.2,550,0,0
L004720,C03120,Car Loan,81000,40100,6.16,2620,0,0
L004721,C03121,Mortgage,1338000,962800,2.8,5430,0,0
L004722,C03122,Credit Card,20000,2700,17.46,1000,0,0
L004723,C03123,Credit Card,5000,4100,21.9,250,1,0
L004724,C03124,Mortgage,1900000,1486900,2.2,8920,0,0
L004725,C03125,Personal Loan,115000,78800,8.06,3200,0,0
L004726,C03125,Mortgage,2070000,1598000,2.99,8080,0,0
L004727,C03125,Car Loan,500000,392800,8.51,9860,1,0
L004728,C03125,Credit Card,56000,31400,17.6,2800,0,0
L004729,C03126,Personal Loan,14000,2900,10.25,380,2,0
L004730,C03127,Mortgage,1387000,643700,2.93,6190,0,0
L004731,C03127,Car Loan,116000,85000,5.77,3490,0,0
L004732,C03128,Mortgage,1661000,1413600,3.06,7210,0,0
L004733,C03129,Credit Card,15000,10500,16.22,750,0,0
L004734,C03130,Credit Card,9000,2200,19.15,450,0,0
L004735,C03131,Car Loan,92000,37200,6.35,2170,0,0
L004736,C03132,Personal Loan,93000,76500,10.45,1660,0,0
L004737,C03133,Credit Card,15000,5000,16.86,750,0,0
L004738,C03134,Mortgage,1942000,874300,2.92,6540,0,0
L004739,C03135,Credit Card,37000,9100,17.35,1850,0,0
L004740,C03135,Mortgage,1750000,965000,3.86,8380,1,0
L004741,C03135,Personal Loan,119000,45900,8.29,1480,0,0
L004742,C03136,Car Loan,353000,96100,6.65,5340,2,0
L004743,C03137,Mortgage,2172000,1843300,2.98,10530,0,0
L004744,C03137,Credit Card,28000,21200,15.87,1400,1,0
L004745,C03138,Personal Loan,161000,123300,9.95,2800,0,0
L004746,C03139,Car Loan,197000,116700,6.2,3030,0,0
L004747,C03139,Mortgage,1088000,752500,2.63,5210,1,0
L004748,C03140,Credit Card,31000,24500,16.58,1550,2,0
L004749,C03141,Car Loan,367000,203600,3.5,5970,0,0
L004750,C03141,Mortgage,1267000,902400,3.13,5220,0,0
L004751,C03142,Personal Loan,235000,200300,4.5,5160,0,0
L004752,C03143,Personal Loan,128000,82700,9.24,1620,0,0
L004753,C03144,Mortgage,953000,615900,3.12,4530,4,0
L004754,C03145,Mortgage,2425000,1900400,3.22,11810,0,0
L004755,C03146,Mortgage,1281000,947500,2.45,5900,0,0
L004756,C03147,Personal Loan,186000,78600,7.18,2500,1,0
L004757,C03147,Mortgage,1587000,1502700,2.79,6450,0,0
L004758,C03148,Personal Loan,150000,94000,10.9,1750,3,0
L004759,C03148,Car Loan,194000,144200,8.13,3150,0,0
L004760,C03148,Credit Card,7000,4100,18.07,350,0,0
L004761,C03149,Mortgage,3373000,2316800,2.5,12050,0,0
L004762,C03149,Personal Loan,416000,128400,5.62,12000,4,0
L004763,C03150,Personal Loan,119000,36200,8.23,1300,0,0
L004764,C03151,Credit Card,23000,12100,18.15,1150,0,0
L004765,C03152,Mortgage,1153000,676300,2.57,5370,0,0
L004766,C03152,Personal Loan,138000,109600,6.71,1720,1,0
L004767,C03153,Mortgage,928000,664100,2.27,3860,1,0
L004768,C03154,Mortgage,1569000,1368200,3.41,8110,0,0
L004769,C03155,Mortgage,1684000,1349400,3.06,7330,0,0
L004770,C03156,Car Loan,50000,24200,9.88,710,1,0
L004771,C03156,Credit Card,19000,9300,15.67,950,0,0
L004772,C03157,Credit Card,39000,13900,17.89,1950,0,0
L004773,C03157,Personal Loan,236000,92500,10.52,3010,0,0
L004774,C03157,Car Loan,100000,70000,7.13,2630,0,0
L004775,C03158,Car Loan,151000,108500,6.58,2630,0,0
L004776,C03159,Mortgage,669000,321100,2.68,2310,2,0
L004777,C03159,Car Loan,196000,62500,4.83,3110,0,0
L004778,C03160,Mortgage,1169000,961700,2.61,4440,1,0
L004779,C03160,Car Loan,380000,258900,5.4,8010,0,0
L004780,C03161,Mortgage,2193000,1412700,2.87,8470,0,0
L004781,C03161,Car Loan,185000,148200,6.59,3400,0,0
L004782,C03162,Credit Card,8000,1400,19.87,400,0,0
L004783,C03163,Credit Card,38000,12400,15.02,1900,0,0
L004784,C03163,Car Loan,115000,97600,3.55,4590,0,0
L004785,C03164,Mortgage,1787000,846200,2.84,6170,0,0
L004786,C03165,Personal Loan,77000,18300,10.24,2120,0,0
L004787,C03166,Personal Loan,85000,54700,9.65,1100,0,0
L004788,C03166,Mortgage,1443000,1107500,3.3,7000,0,0
L004789,C03166,Credit Card,26000,15100,16.52,1300,1,0
L004790,C03167,Credit Card,27000,20000,17.28,1350,2,0
L004791,C03167,Car Loan,136000,57500,8.58,1910,0,0
L004792,C03168,Car Loan,106000,53100,7.21,2480,0,0
L004793,C03169,Mortgage,1284000,807200,3.13,4980,0,0
L004794,C03170,Mortgage,2240000,1586600,3.14,10160,0,0
L004795,C03170,Credit Card,25000,16300,16.58,1250,0,0
L004796,C03170,Personal Loan,285000,96900,12.5,3320,0,0
L004797,C03171,Credit Card,5000,600,18.45,250,0,0
L004798,C03171,Personal Loan,64000,21300,13.28,2260,0,0
L004799,C03171,Car Loan,50000,30300,9.25,760,3,0
L004800,C03172,Credit Card,22000,16600,20.28,1100,0,0
L004801,C03173,Mortgage,1617000,821200,2.2,5630,0,0
L004802,C03174,Car Loan,107000,59300,9.1,1990,0,0
L004803,C03175,Credit Card,23000,8100,17.59,1150,0,0
L004804,C03175,Car Loan,128000,91100,7.53,2640,0,0
L004805,C03176,Credit Card,21000,17300,18.06,1050,1,0
L004806,C03176,Car Loan,97000,71000,6.45,3750,0,0
L004807,C03177,Car Loan,187000,50900,6.17,4060,0,0
L004808,C03178,Credit Card,36000,30500,16.5,1800,0,0
L004809,C03179,Mortgage,813000,486800,2.88,3230,0,0
L004810,C03180,Personal Loan,302000,235200,8.19,8700,2,0
L004811,C03181,Mortgage,2004000,1694900,3.09,10460,0,0
L004812,C03182,Credit Card,12000,7900,14.26,600,0,0
L004813,C03182,Mortgage,1482000,1078800,3.02,6010,0,0
L004814,C03183,Mortgage,2340000,1876200,3.25,12160,0,0
L004815,C03184,Personal Loan,175000,127300,9.12,6050,0,0
L004816,C03184,Credit Card,53000,3000,16.7,2650,0,0
L004817,C03185,Personal Loan,31000,19300,5.83,440,0,0
L004818,C03186,Credit Card,8000,2300,19.02,400,0,0
L004819,C03186,Personal Loan,60000,35800,10.88,720,2,0
L004820,C03186,Car Loan,50000,29600,8.99,720,1,0
L004821,C03187,Mortgage,1401000,674100,3.83,5340,0,0
L004822,C03188,Mortgage,1383000,919000,3.17,6110,0,0
L004823,C03189,Mortgage,1532000,882500,3.25,6510,0,0
L004824,C03190,Mortgage,1506000,908600,2.56,6470,1,0
L004825,C03191,Personal Loan,280000,69100,9.84,2690,0,0
L004826,C03192,Personal Loan,124000,42300,7.99,1210,0,0
L004827,C03192,Mortgage,1183000,669900,2.9,5050,0,0
L004828,C03193,Mortgage,819000,443900,2.59,3140,0,0
L004829,C03193,Credit Card,11000,9100,11.74,550,2,0
L004830,C03194,Mortgage,2337000,1949000,3.15,9460,0,0
L004831,C03195,Mortgage,1438000,1014700,3.21,5540,0,0
L004832,C03195,Car Loan,206000,168500,5.16,8810,1,0
L004833,C03195,Personal Loan,63000,38200,12.85,790,0,0
L004834,C03196,Mortgage,1169000,854300,2.49,4630,1,0
L004835,C03197,Personal Loan,214000,135500,9.38,7340,0,0
L004836,C03198,Personal Loan,214000,181300,8.67,3550,0,0
L004837,C03199,Car Loan,58000,16600,8.17,820,0,0
L004838,C03200,Mortgage,1648000,1555700,3.17,7150,0,0
L004839,C03201,Credit Card,42000,5300,14.35,2100,0,0
L004840,C03201,Mortgage,1857000,1597500,2.73,7900,0,0
L004841,C03202,Credit Card,58000,20800,15.9,2900,0,0
L004842,C03203,Credit Card,12000,5100,23.17,600,0,0
L004843,C03204,Credit Card,6000,2000,16.67,300,0,0
L004844,C03205,Mortgage,1990000,1646300,2.82,9240,0,0
L004845,C03205,Personal Loan,156000,61600,7.77,4070,2,0
L004846,C03206,Mortgage,579000,381100,2.89,2310,0,0
L004847,C03206,Credit Card,28000,15900,16.02,1400,0,0
L004848,C03207,Car Loan,225000,195700,7.28,3750,0,0
L004849,C03208,Personal Loan,39000,23600,7.09,610,0,0
L004850,C03208,Car Loan,115000,102400,8.32,3390,0,0
L004851,C03209,Personal Loan,414000,283400,9.4,5160,0,0
L004852,C03210,Mortgage,1211000,961300,2.74,5410,0,0
L004853,C03211,Mortgage,1783000,1095700,3.11,8010,0,0
L004854,C03212,Car Loan,183000,116300,7.39,4130,0,0
L004855,C03212,Mortgage,866000,594000,3.11,3980,0,0
L004856,C03212,Credit Card,26000,6600,13.51,1300,0,0
L004857,C03212,Personal Loan,80000,18800,5.33,800,4,0
L004858,C03213,Credit Card,40000,26900,17.8,2000,0,0
L004859,C03214,Credit Card,34000,13900,20.91,1700,1,0
L004860,C03214,Mortgage,1551000,731800,3.03,5800,0,0
L004861,C03215,Mortgage,1383000,1119900,3.58,6580,0,0
L004862,C03215,Credit Card,11000,3900,21.16,550,1,0
L004863,C03216,Mortgage,1013000,878100,3.43,4490,0,0
L004864,C03217,Credit Card,45000,11600,20.72,2250,0,0
L004865,C03217,Car Loan,283000,158700,7.2,4470,0,0
L004866,C03218,Credit Card,5000,2900,19.69,250,0,0
L004867,C03219,Mortgage,1395000,1153400,3.23,6330,0,0
L004868,C03220,Mortgage,1367000,1265700,2.44,5520,2,0
L004869,C03221,Personal Loan,106000,70900,10.78,1920,1,0
L004870,C03221,Mortgage,1771000,1016000,3.05,8430,0,0
L004871,C03221,Credit Card,60000,43100,13.77,3000,0,0
L004872,C03222,Mortgage,1884000,1108700,2.58,8800,0,0
L004873,C03223,Personal Loan,86000,27800,8.21,1170,0,0
L004874,C03224,Credit Card,5000,3500,15.66,250,0,0
L004875,C03225,Mortgage,790000,455600,4.09,3540,1,0
L004876,C03225,Car Loan,163000,116200,7.6,6200,2,0
L004877,C03226,Mortgage,2392000,2133700,2.73,10420,0,0
L004878,C03226,Car Loan,397000,233500,6.91,7390,0,0
L004879,C03226,Personal Loan,163000,92900,4.5,3180,0,0
L004880,C03227,Credit Card,34000,20700,15.18,1700,0,0
L004881,C03228,Credit Card,23000,2800,20.28,1150,0,1
L004882,C03228,Car Loan,50000,38400,6.53,740,0,0
L004883,C03229,Personal Loan,161000,60400,4.5,3140,0,0
L004884,C03229,Mortgage,1064000,892700,3.19,4600,3,0
L004885,C03230,Car Loan,193000,92900,5.0,4240,0,0
L004886,C03230,Mortgage,1411000,988100,2.83,6150,0,0
L004887,C03231,Personal Loan,160000,107900,4.5,1820,0,0
L004888,C03231,Mortgage,1369000,726300,3.03,5050,1,0
L004889,C03231,Credit Card,24000,16800,20.05,1200,3,0
L004890,C03231,Car Loan,144000,69600,7.76,2920,0,0
L004891,C03232,Mortgage,2384000,1245100,2.82,8490,0,0
L004892,C03232,Personal Loan,354000,219800,10.91,5030,0,0
L004893,C03232,Credit Card,48000,29900,10.0,2400,2,0
L004894,C03233,Personal Loan,98000,55900,10.05,1550,0,0
L004895,C03234,Car Loan,128000,81600,7.92,1890,0,0
L004896,C03235,Car Loan,429000,145300,7.63,6550,0,0
L004897,C03236,Mortgage,1714000,919000,3.07,6490,0,0
L004898,C03236,Credit Card,63000,39300,13.34,3150,2,0
L004899,C03236,Personal Loan,344000,168200,7.47,4380,0,0
L004900,C03237,Mortgage,1031000,934500,3.07,4330,0,0
L004901,C03238,Car Loan,189000,105600,6.78,3420,0,0
L004902,C03239,Credit Card,33000,14500,14.73,1650,0,0
L004903,C03240,Car Loan,174000,151700,5.79,6460,2,0
L004904,C03240,Mortgage,1391000,958400,2.56,5990,1,0
L004905,C03241,Mortgage,1341000,1129200,3.19,7000,0,0
L004906,C03241,Credit Card,51000,8700,18.3,2550,0,0
L004907,C03242,Credit Card,61000,22900,21.41,3050,0,0
L004908,C03242,Mortgage,2015000,1358500,2.79,7440,0,0
L004909,C03243,Mortgage,1900000,1574100,2.42,7120,1,0
L004910,C03243,Credit Card,54000,22600,21.13,2700,4,1
L004911,C03243,Personal Loan,380000,289900,10.83,15910,2,0
L004912,C03244,Personal Loan,46000,28100,10.18,620,1,0
L004913,C03244,Car Loan,145000,109000,9.33,4350,1,0
L004914,C03244,Credit Card,21000,12000,16.3,1050,0,0
L004915,C03245,Car Loan,251000,67900,3.99,3510,0,0
L004916,C03246,Mortgage,2103000,1827800,2.74,8930,0,0
L004917,C03246,Credit Card,59000,45500,19.1,2950,0,0
L004918,C03247,Mortgage,2782000,2577600,3.13,13850,0,0
L004919,C03247,Credit Card,64000,27300,15.16,3200,1,0
L004920,C03247,Personal Loan,251000,162600,6.19,3160,0,0
L004921,C03248,Mortgage,1554000,1376500,2.69,7620,0,0
L004922,C03249,Mortgage,2164000,1146600,2.88,8380,0,0
L004923,C03250,Credit Card,17000,1100,18.36,850,0,0
L004924,C03251,Mortgage,1416000,1206500,3.58,6240,0,0
L004925,C03252,Credit Card,19000,15000,18.06,950,0,0
L004926,C03252,Mortgage,1656000,1088000,2.76,6080,0,0
L004927,C03253,Credit Card,27000,12800,14.5,1350,0,0
L004928,C03254,Mortgage,2056000,1697900,2.78,9380,0,0
L004929,C03254,Personal Loan,177000,78300,6.05,5110,2,1
L004930,C03254,Credit Card,36000,19800,16.55,1800,0,0
L004931,C03255,Mortgage,2407000,1702900,2.88,10730,0,0
L004932,C03255,Personal Loan,265000,60200,8.48,6260,0,0
L004933,C03256,Car Loan,134000,51600,7.58,4480,0,0
L004934,C03257,Credit Card,45000,7800,15.4,2250,0,0
L004935,C03257,Personal Loan,69000,50200,12.54,960,0,0
L004936,C03257,Mortgage,2326000,2011300,2.34,10170,0,0
L004937,C03257,Car Loan,328000,211500,6.19,9040,2,0
L004938,C03258,Credit Card,13000,5200,20.09,650,0,0
L004939,C03259,Car Loan,166000,86000,6.54,3830,0,0
L004940,C03259,Credit Card,42000,21300,16.27,2100,0,0
L004941,C03260,Credit Card,12000,6400,20.08,600,0,0
L004942,C03260,Mortgage,366000,221100,2.98,1430,0,0
L004943,C03261,Personal Loan,150000,99000,9.47,3420,0,0
L004944,C03261,Mortgage,911000,578400,3.88,4000,1,0
L004945,C03262,Car Loan,255000,143100,9.6,4110,2,0
L004946,C03262,Credit Card,65000,29900,15.63,3250,2,0
L004947,C03262,Mortgage,1978000,978800,3.05,8420,0,0
L004948,C03263,Credit Card,11000,2900,16.8,550,0,0
L004949,C03263,Mortgage,1249000,880800,3.11,5330,0,0
L004950,C03263,Personal Loan,206000,89800,5.53,2650,0,0
L004951,C03264,Credit Card,24000,4900,13.1,1200,0,0
L004952,C03265,Mortgage,2641000,1622700,3.75,11130,0,0
L004953,C03265,Credit Card,99000,38400,16.99,4950,0,0
L004954,C03265,Personal Loan,500000,251300,12.57,8050,0,0
L004955,C03266,Car Loan,104000,90400,5.0,1810,0,0
L004956,C03267,Personal Loan,163000,96600,7.65,2260,1,0
L004957,C03268,Mortgage,1482000,1068900,2.86,5850,0,0
L004958,C03269,Credit Card,5000,2300,14.74,250,0,0
L004959,C03270,Credit Card,10000,7100,19.77,500,0,0
L004960,C03271,Mortgage,1049000,754200,3.04,4690,1,0
L004961,C03271,Credit Card,24000,6800,16.59,1200,0,0
L004962,C03272,Mortgage,477000,436800,3.2,2410,0,0
L004963,C03273,Personal Loan,28000,12300,11.2,340,0,0
L004964,C03273,Car Loan,54000,23500,7.16,980,0,0
L004965,C03274,Personal Loan,283000,240000,6.35,3250,1,0
L004966,C03274,Mortgage,1626000,1154000,2.5,8030,0,0
L004967,C03275,Personal Loan,255000,84600,10.38,2680,0,0
L004968,C03276,Mortgage,1018000,854800,3.12,4290,0,0
L004969,C03276,Credit Card,32000,14000,13.67,1600,0,0
L004970,C03277,Credit Card,33000,25000,16.28,1650,0,0
L004971,C03278,Mortgage,1197000,850700,2.31,4520,0,0
L004972,C03279,Mortgage,925000,785800,3.45,4940,0,0
L004973,C03280,Mortgage,2045000,1590500,2.6,9260,0,0
L004974,C03280,Credit Card,35000,24900,16.85,1750,0,0
L004975,C03281,Credit Card,43000,32200,17.01,2150,1,0
L004976,C03281,Car Loan,434000,375100,7.0,12190,2,0
L004977,C03281,Mortgage,2229000,1205100,3.1,8810,0,1
L004978,C03282,Credit Card,13000,2500,17.77,650,2,0
L004979,C03282,Car Loan,150000,126000,8.37,6770,1,0
L004980,C03283,Mortgage,2214000,1030000,2.65,7850,0,0
L004981,C03284,Mortgage,664000,308300,2.96,2890,3,0
L004982,C03284,Car Loan,59000,22200,7.85,1090,0,0
L004983,C03285,Car Loan,100000,61700,10.9,2360,1,0
L004984,C03285,Credit Card,26000,11300,24.0,1300,0,0
L004985,C03286,Personal Loan,127000,107700,8.59,1580,0,0
L004986,C03287,Credit Card,40000,15400,22.3,2000,0,0
L004987,C03288,Credit Card,6000,2700,22.46,300,0,0
L004988,C03288,Personal Loan,103000,25900,13.9,3410,1,0
L004989,C03289,Credit Card,23000,15200,13.97,1150,0,0
L004990,C03290,Personal Loan,77000,43100,6.87,1670,1,0
L004991,C03291,Credit Card,7000,400,16.71,350,0,0
L004992,C03292,Mortgage,359000,285300,3.71,1520,0,0
L004993,C03293,Personal Loan,338000,109800,7.73,5370,1,0
L004994,C03293,Mortgage,1312000,1035400,3.26,6930,0,0
L004995,C03294,Mortgage,2560000,2270300,2.94,11720,0,0
L004996,C03295,Personal Loan,174000,119500,6.74,3680,0,0
L004997,C03296,Credit Card,5000,3100,18.3,250,0,1
L004998,C03297,Car Loan,157000,69900,6.89,3710,2,0
L004999,C03298,Credit Card,7000,4800,21.61,350,0,0
L005000,C03299,Credit Card,6000,4600,19.64,300,0,0
L005001,C03299,Car Loan,127000,35000,5.68,3010,0,0
L005002,C03300,Mortgage,493000,271000,3.61,1850,0,0
L005003,C03301,Mortgage,1889000,1434800,2.91,8370,1,0
L005004,C03302,Mortgage,1166000,871900,2.92,4770,0,0
L005005,C03303,Mortgage,1828000,831800,3.45,6490,1,0
L005006,C03304,Mortgage,1814000,1052100,3.14,8680,0,0
L005007,C03305,Credit Card,25000,8200,17.14,1250,0,0
L005008,C03306,Mortgage,2296000,1422600,2.73,8260,1,0
L005009,C03306,Car Loan,271000,154700,6.5,4520,0,0
L005010,C03307,Mortgage,1155000,1009100,2.83,4970,0,0
L005011,C03308,Credit Card,5000,3400,23.3,250,1,1
L005012,C03309,Personal Loan,407000,164400,7.62,17020,0,0
L005013,C03309,Mortgage,2672000,1997100,3.41,11700,0,0
L005014,C03310,Mortgage,1776000,1677300,3.4,8690,4,0
L005015,C03310,Personal Loan,178000,121100,9.24,3190,0,0
L005016,C03311,Mortgage,1553000,1132700,2.85,6880,0,0
L005017,C03312,Mortgage,2499000,1325500,2.67,9610,0,0
L005018,C03312,Credit Card,30000,6600,13.36,1500,0,0
L005019,C03313,Car Loan,168000,115800,4.63,4690,1,0
L005020,C03313,Credit Card,21000,11900,14.38,1050,0,0
L005021,C03314,Credit Card,5000,1700,23.5,250,0,0
L005022,C03315,Car Loan,66000,22600,5.13,1030,0,0
L005023,C03316,Mortgage,1820000,1633000,2.98,8200,0,0
L005024,C03317,Credit Card,14000,4700,17.74,700,0,0
L005025,C03318,Credit Card,6000,3400,15.22,300,2,0
L005026,C03319,Credit Card,11000,5800,14.93,550,1,0
L005027,C03320,Credit Card,6000,2900,16.83,300,1,0
L005028,C03321,Personal Loan,127000,35700,10.38,3140,0,0
L005029,C03321,Mortgage,1448000,1347000,2.89,6510,1,0
L005030,C03322,Personal Loan,103000,22200,6.58,1300,0,0
L005031,C03323,Mortgage,2200000,1642300,2.28,7920,0,0
L005032,C03323,Personal Loan,276000,202900,8.59,3510,0,0
L005033,C03324,Credit Card,26000,15700,15.88,1300,0,0
L005034,C03325,Mortgage,966000,649200,2.81,4370,0,0
L005035,C03326,Mortgage,2107000,1389400,2.95,10200,0,0
L005036,C03327,Personal Loan,16000,4400,8.67,380,0,0
L005037,C03328,Personal Loan,311000,100000,6.62,7440,0,0
L005038,C03329,Credit Card,66000,42200,22.0,3300,0,0
L005039,C03329,Mortgage,1501000,1007700,3.02,7160,0,0
L005040,C03330,Personal Loan,178000,92200,11.35,2720,0,0
L005041,C03331,Credit Card,46000,29400,14.04,2300,1,0
L005042,C03331,Car Loan,342000,138500,6.92,4750,0,0
L005043,C03331,Mortgage,2463000,1886100,2.65,12270,1,0
L005044,C03332,Credit Card,17000,11400,16.77,850,4,0
L005045,C03333,Mortgage,1619000,1496000,3.16,7010,0,0
L005046,C03334,Mortgage,1066000,514400,3.34,4270,4,0
L005047,C03335,Credit Card,5000,1800,16.34,250,2,0
L005048,C03335,Personal Loan,16000,12200,9.3,490,0,0
L005049,C03336,Personal Loan,212000,59400,7.28,2390,0,0
L005050,C03337,Credit Card,20000,14900,18.87,1000,0,0
L005051,C03337,Personal Loan,80000,64700,10.57,2330,0,0
L005052,C03338,Personal Loan,215000,86500,6.06,2450,0,0
L005053,C03339,Mortgage,1887000,1044000,2.63,6840,0,0
L005054,C03340,Car Loan,217000,121800,4.04,6310,0,0
L005055,C03340,Mortgage,1755000,1582500,2.74,7490,0,0
L005056,C03341,Car Loan,142000,99000,6.01,3560,0,0
L005057,C03341,Personal Loan,143000,104900,11.56,2830,0,0
L005058,C03342,Personal Loan,97000,38900,10.31,990,0,1
L005059,C03343,Mortgage,1713000,904300,3.4,7570,0,0
L005060,C03344,Credit Card,22000,3200,16.64,1100,1,0
L005061,C03344,Car Loan,169000,90400,4.6,3800,0,0
L005062,C03345,Mortgage,1912000,1750900,3.0,8050,2,0
L005063,C03345,Car Loan,311000,244300,9.13,10770,0,0
L005064,C03345,Personal Loan,105000,64800,8.23,1250,1,0
L005065,C03346,Mortgage,1340000,862900,2.78,5600,0,0
L005066,C03346,Credit Card,39000,31000,16.27,1950,0,0
L005067,C03347,Personal Loan,121000,38400,5.84,1700,1,0
L005068,C03348,Personal Loan,204000,175700,14.52,4180,0,0
L005069,C03349,Mortgage,873000,453700,3.44,3940,0,0
L005070,C03349,Credit Card,13000,2800,17.78,650,2,0
L005071,C03350,Personal Loan,59000,48800,6.67,760,0,0
L005072,C03350,Mortgage,1562000,1114300,2.87,6660,0,0
L005073,C03351,Mortgage,1904000,1718600,3.23,8180,2,0
L005074,C03351,Car Loan,231000,201700,6.3,4950,0,0
L005075,C03352,Credit Card,27000,15700,16.82,1350,0,0
L005076,C03352,Car Loan,321000,209900,6.47,5600,0,0
L005077,C03352,Mortgage,1195000,979800,2.61,4970,0,0
L005078,C03353,Mortgage,776000,433100,3.26,3560,3,0
L005079,C03353,Credit Card,19000,12000,19.03,950,0,0
L005080,C03354,Credit Card,15000,7200,16.63,750,0,0
L005081,C03355,Mortgage,709000,561200,3.01,3030,0,0
L005082,C03355,Credit Card,12000,1900,18.36,600,0,0
L005083,C03356,Credit Card,5000,4100,16.56,250,0,0
L005084,C03356,Car Loan,50000,18200,8.81,800,0,1
L005085,C03357,Mortgage,1823000,875200,2.84,7100,0,0
L005086,C03358,Mortgage,2042000,1326100,2.92,10170,0,0
L005087,C03359,Mortgage,531000,360100,3.13,2640,3,0
L005088,C03360,Credit Card,48000,17000,16.3,2400,0,0
L005089,C03361,Mortgage,1224000,759200,3.44,4960,0,0
L005090,C03362,Mortgage,2334000,1561300,2.82,9500,1,0
L005091,C03363,Car Loan,385000,225200,6.72,10460,0,0
L005092,C03363,Mortgage,1642000,780300,2.76,5900,0,0
L005093,C03364,Mortgage,1239000,846200,2.2,4960,0,0
L005094,C03364,Personal Loan,111000,58400,4.54,2200,0,0
L005095,C03364,Car Loan,238000,66100,5.96,3180,0,0
L005096,C03365,Mortgage,1104000,1019500,3.83,5200,0,0
L005097,C03365,Credit Card,17000,9600,18.33,850,0,0
L005098,C03366,Credit Card,44000,20300,20.2,2200,0,0
L005099,C03367,Car Loan,66000,31300,6.5,1210,1,0
L005100,C03368,Mortgage,2473000,2176900,3.69,11330,0,0
L005101,C03369,Credit Card,5000,1200,14.83,250,0,0
L005102,C03370,Mortgage,873000,506300,3.12,3570,0,0
L005103,C03371,Mortgage,1209000,884100,3.09,5730,0,0
L005104,C03372,Personal Loan,44000,12000,11.53,1570,1,0
L005105,C03372,Credit Card,14000,1200,23.03,700,0,0
L005106,C03373,Mortgage,1640000,1014800,3.01,6090,1,0
L005107,C03373,Personal Loan,260000,218000,10.77,5910,0,0
L005108,C03374,Personal Loan,203000,72200,8.58,2850,0,0
L005109,C03374,Mortgage,1823000,1667200,2.74,9330,0,0
L005110,C03375,Personal Loan,57000,23000,7.01,1280,1,0
L005111,C03376,Car Loan,312000,171600,6.38,7630,0,0
L005112,C03377,Mortgage,1468000,1081700,2.37,5280,0,0
L005113,C03377,Personal Loan,305000,187800,8.24,13220,4,0
L005114,C03378,Personal Loan,35000,24000,8.95,780,0,0
L005115,C03379,Credit Card,7000,4700,17.89,350,0,0
L005116,C03380,Mortgage,1748000,1513500,2.57,8990,0,0
L005117,C03381,Mortgage,1985000,1014900,3.37,8040,0,0
L005118,C03381,Personal Loan,256000,129200,7.17,2900,1,0
L005119,C03382,Personal Loan,252000,74800,8.61,4440,0,0
L005120,C03383,Credit Card,35000,24900,17.15,1750,0,0
L005121,C03384,Mortgage,2066000,1277500,2.82,7770,0,0
L005122,C03385,Personal Loan,63000,47400,10.65,1540,0,0
L005123,C03386,Mortgage,570000,309200,2.88,2350,2,1
L005124,C03387,Personal Loan,234000,150300,7.05,5840,0,0
L005125,C03387,Mortgage,1621000,903100,3.19,6270,0,0
L005126,C03388,Personal Loan,236000,130400,9.53,3170,1,0
